branch_code,branch_name,region
BR001,Downtown Central,West
BR002,Meadow View,South
BR003,North Hills,East
BR004,Riverbank,North
BR005,Sunset Plaza,West
BR006,Silver Creek,South
BR007,Pine Ridge,East
BR008,Bay Point,North
BR009,Garden Square,West
BR010,Crescent Bay,South
BR011,Maple Grove,East
BR012,Ocean Breeze,West
BR013,Hilltop Heights,North
BR014,Lakeside Park,South
BR015,Elm Street,East
BR016,Golden Valley,West
BR017,Crystal Springs,North
BR018,Willow Bend,South
BR019,Cedar Point,East
BR020,Harbor View,West
BR021,Stonebridge,North
BR022,Rosewood,South
BR023,Birch Hill,East
BR024,Coral Bay,West
BR025,Aspen Grove,North
